Time_s,GS_ROM,GS_SVA,GS_MAU,GS_REU,Total_Throughput_Gbps,Active_ISL_Links,Active_SGL_Links
12530.0,702.8652351141216,97.96595610782003,616.0662081839629,370.5246537199976,1787.422053125902,68,5
12540.0,703.58220780074,97.17581580095685,616.0662321048418,370.524650474288,1787.3489061808264,68,5
12550.0,704.297958556638,96.38372324526821,616.0662560345692,370.52464721160703,1787.2725850480824,67,5
12560.0,705.0124856325524,95.58967924576109,616.066279973127,370.52464393196,1787.1930887834005,67,5
12570.0,705.7257869671597,94.79368481498855,616.0663039204778,370.5246406352983,1787.1104163379243,67,5
12580.0,706.4378601894771,93.99574119696658,616.0663278766359,370.5246373216081,1787.0245665846878,66,5
12590.0,707.1487026212387,93.19584989221056,616.0663518415508,370.524633990867,1786.9355383458671,66,5
12600.0,707.8583112791974,92.40963322713411,616.0663758152102,370.52463064305624,1786.858950964598,66,6
12610.0,708.5666828774997,91.61461130269753,616.0663997975901,370.52462727815066,1786.7723212559379,66,6
12620.0,709.2738138299709,90.82123759365734,616.0664237886979,370.52462389613135,1786.6860991084575,66,6
12630.0,709.9797002523757,90.03032605229993,616.0664477884762,370.52462049697414,1786.6010945901262,66,6
12640.0,710.6843379647314,89.2426276628115,616.0664717969402,370.5246170806595,1786.5180545051426,66,6
12650.0,711.387722493507,88.45875145603229,616.0664958140313,370.52461364716476,1786.4375834107354,66,6
12660.0,712.0898490739523,87.67909321558152,616.0665198397517,370.5246101964581,1786.3600723257437,66,6
12670.0,712.790712652228,86.90378070840201,616.0665438741094,370.5246067285469,1786.2856439632865,66,6
12680.0,713.4903078876882,86.13264059004376,616.0665679170268,370.5246032433728,1786.2141196381315,66,6
12690.0,714.1886291550439,85.36518831410903,616.0665919685123,370.5245997409403,1786.1450091786055,66,6
12700.0,714.8856705465776,84.60063937120303,616.06661602856,370.52459622122933,1786.07752216757,67,6
12710.0,715.5814258742823,83.8379383793775,616.066640097153,370.524592684198,1786.010597035011,67,6
12720.0,716.2758886721178,83.07580185835305,616.066664174239,370.5245891298366,1785.9429438345464,68,6
12730.0,716.9690521980433,82.31277061075518,616.0666882598006,370.5245855581203,1785.8730966267194,68,6
12740.0,717.6609094363033,81.54726812953295,616.0667123538385,370.52458196902967,1785.7994718887044,68,6
12750.0,718.3514530994693,80.77766205407922,616.0667364563415,370.5245783625425,1785.7204299724326,68,6
12760.0,719.0406756306431,80.002326228067,616.0667605672585,370.524574738637,1785.6343371646058,68,6
12770.0,719.7285692055227,79.2197012968,616.0667846866037,370.52457109728243,1785.5396262862087,68,6
12780.0,720.4151257346241,78.42835202345968,616.0668088143198,370.52456743847665,1785.4348540108801,68,6
12790.0,721.1003368653193,77.62701964689145,616.0668329504211,370.5245637621865,1785.3187532248185,68,6
12800.0,721.7841939839902,76.81466770823747,616.0668570948701,370.5245600684024,1785.1902788555003,66,6
12810.0,722.4666882181554,75.99051989573113,616.0668812476476,370.52455635708293,1785.048645718617,66,6
12820.0,723.1478104385321,75.15408863713174,616.0669054087429,370.52455262820723,1784.893357112614,66,6
12830.0,723.8275512612405,74.3051934277213,616.06692957813,370.52454888178,1784.7242231488717,64,6
12840.0,724.5059010498246,73.44396821740997,616.0669537557914,370.524545117753,1784.541368140779,64,6
12850.0,725.1828499174213,72.57085757367919,616.0669779416825,370.5245413361049,1784.345226768888,64,6
12860.0,725.8583877288348,71.6866017554267,616.0670021358237,370.52453753684176,1784.136529156927,64,6
12870.0,726.5325041026952,70.7922112385363,616.0670263381842,370.52453371991487,1783.9162753993305,64,6
12880.0,727.2051884135159,69.88893159235799,616.0670505487124,370.52452988530075,1783.6857004398871,64,6
12890.0,727.8764297938808,68.97819989318164,616.0670747674233,370.52452603300816,1783.4462304874937,64,6
12900.0,728.5462171365173,68.06159406932287,616.067098994285,370.5245221629861,1783.199432363111,64,6
12910.0,729.214539096442,67.14077671662395,616.0671232292924,370.5245182752234,1782.946957317582,64,6
12920.0,729.8813840930632,66.21743503849221,616.0671474724006,370.52451436969926,1782.6904809736552,64,6
12930.0,730.5467403123873,65.2932187038315,616.0671717236053,370.52451044638013,1782.4316411862042,66,6
12940.0,731.2105957090916,64.36967763988557,616.0671959828738,370.5245065052663,1782.1719758371173,68,6
12950.0,731.8729380086994,63.4482021361048,616.0672202502077,370.5245025463341,1781.9128629413458,68,6
12960.0,732.5337547097423,62.52996814584789,616.0672445255695,370.5244985695448,1781.6554659507046,68,6
12970.0,733.1930330859151,61.61589128310063,616.06726880896,370.52449457487677,1781.4006877528523,68,6
12980.0,733.8507601882576,60.706593567626605,616.0672931003148,370.5244905623368,1781.1491374185357,68,6
12990.0,734.5069228473355,59.80238719964351,616.0673173996552,370.52448653187514,1780.9011139785093,68,6
13000.0,735.1615076754301,58.90327917413751,616.0673417069362,370.52448248347025,1780.656611039974,69,6
13010.0,735.8145010687244,58.00899900991519,616.0673660221723,370.52447841712916,1780.415344517941,69,6
13020.0,736.4658892095528,57.11904909838296,616.0673903453056,370.5244743327923,1780.1768029860336,69,6
13030.0,737.115658068586,56.232773429662416,616.0674146763314,370.52447023046733,1779.9403164050473,69,6
13040.0,737.763793407101,55.34943656540324,616.0674390152373,370.52446611013283,1779.7051350978745,69,6
13050.0,738.4102807792003,54.468301996289824,616.0674633620044,370.52446197174913,1779.4705081092436,68,6
13060.0,739.0551055340865,53.58217615165598,616.0674877165956,370.5244578153031,1779.229227217641,67,5
13070.0,739.6982528183441,52.70629197910198,616.0675120789917,370.52445364077374,1778.9965105172116,67,5
13080.0,740.3397075781925,51.829875722908575,616.0675364491943,370.5244494481407,1778.761569198436,67,5
13090.0,740.9794545618537,50.95302074190745,616.0675608271716,370.524445237372,1778.5244813683048,67,5
13100.0,741.6174783218005,50.07582539166259,616.0675852128986,370.52444100847555,1778.2853299348371,66,5
13110.0,742.2537632171221,49.19839323999901,616.0676096063568,370.52443676140155,1778.0442028248794,66,5
13120.0,742.8882934158711,48.32083328916366,616.067634007541,370.52443249613845,1777.8011932087143,66,5
13130.0,743.5210528974246,47.44326020456559,616.0676584164062,370.52442821266425,1777.5563997310605,66,5
13140.0,744.1520254548554,46.56579455000444,616.067682832934,370.52442391095724,1777.3099267487512,66,5
13150.0,744.7811946973376,45.688563029248,616.0677072571256,370.5244195909982,1777.0618845747094,66,5
13160.0,745.408544052568,44.811698733771244,616.0677316889495,370.5244152527644,1776.812389728053,66,5
13170.0,746.0340567691555,43.93534139640836,616.0677561283869,370.5244108962255,1776.5615651901762,66,5
13180.0,746.6577159191488,43.05963765060461,616.0677805754265,370.5244065213887,1776.3095406665686,66,5
13190.0,747.2795044004288,42.18474129488229,616.0678050300223,370.524402128205,1776.0564528535385,66,5
13200.0,747.8994049392281,41.3264397886697,616.0678294921898,370.5243977166619,1775.8180719367497,66,6
13210.0,748.517400092632,40.46227930580312,616.0678539618971,370.524393286738,1775.57192664707,66,6
13220.0,749.1334722511187,39.60290443899105,616.0678784390918,370.5243888384134,1775.328643967615,66,6
13230.0,749.7476036410358,38.749260037406486,616.0679029237893,370.52438437166467,1775.0891509738963,66,6
13240.0,750.35977632728,37.902231194253226,616.0679274159578,370.52437988646386,1774.854314823955,66,6
13250.0,750.9699722157725,37.06256925226203,616.0679519155851,370.52437538280714,1774.6248687664267,66,6
13260.0,751.5781730561282,36.230825960385836,616.0679764226525,370.52437086067414,1774.4013462998407,66,6
13270.0,752.184360444225,35.40730386319173,616.0680009371217,370.5243663200237,1774.1840315645622,66,6
13280.0,752.7885158249026,34.59202750604124,616.0680254589807,370.52436176084547,1773.97293055077,66,6
13290.0,753.390620494626,33.784736477204916,616.0680499882247,370.52435718311807,1773.7677641431737,66,6
13300.0,753.990655604098,32.984898538223376,616.0680745248145,370.52435258680964,1773.5679812539456,67,6
13310.0,754.5886021610823,32.19173944652194,616.0680990687384,370.5243479719301,1773.372788648273,68,6
13320.0,755.1844410330293,31.404285455641208,616.068123619985,370.5243433384271,1773.1811934470827,68,6
13330.0,755.7781529498864,30.621414577180257,616.0681481785149,370.52433868629134,1772.992054391873,68,6
13340.0,756.3697185068729,29.841913159617068,616.0681727443168,370.5243340155002,1772.804138426307,68,6
13350.0,756.9591181672229,29.064534910952737,616.0681973173648,370.52432932603307,1772.6161797215734,68,6
13360.0,757.5463322650575,28.288060000960204,616.0682218976548,370.5243246178699,1772.4269387815425,68,6
13370.0,758.1313410082182,27.511352258534977,616.0682464851604,370.52431989098943,1772.235259642903,68,6
13380.0,758.7141244810962,26.733412732372788,616.0682710798502,370.5243151453684,1772.0401234386873,68,6
13390.0,759.2946626475307,25.95342804868682,616.0682956817382,370.52431038098854,1771.8406967589442,68,6
13400.0,759.8729353537358,25.17081213048588,616.0683202907334,370.52430559782727,1771.6363733727821,68,6
13410.0,760.4489223311916,24.385239987488443,616.0683449068897,370.52430079585537,1771.4268080214251,68,6
13420.0,761.0226031996244,23.596672478358187,616.0683695301694,370.5242959750792,1771.2119411832314,68,6
13430.0,761.5939574699742,22.80537120337997,616.0683941605197,370.52429113545014,1770.992013969324,68,6
13440.0,762.1629645473824,22.01190300307031,616.0684187979487,370.5242862769465,1770.7675726253478,68,6
13450.0,762.7296037341921,21.21713389804067,616.0684434424048,370.52428139957675,1770.5394624742144,68,6
13460.0,763.2938542330407,20.422212679081024,616.0684680939163,370.5242765032904,1770.3088115093283,68,6
13470.0,763.8556951498688,19.628544711944123,616.0684927524369,370.5242715880766,1770.0770042023264,68,6
13480.0,764.4151054970289,18.837756830691216,616.0685174179549,370.52426665391476,1769.84564639959,68,6
13490.0,764.9720641963871,18.051654439376,616.0685420904392,370.5242617007734,1769.6165224269757,68,6
13500.0,765.5265500824482,17.27217212278509,616.0685667698701,370.5242567286516,1769.391545703755,68,6
13510.0,766.0785419055171,16.501319200028753,616.0685914562293,370.5242517375292,1769.1727042993045,68,6
13520.0,766.6280183348422,15.741121775203855,616.0686161495179,370.52424672736447,1768.9620029869284,68,6
13530.0,767.1749579618483,14.993562995768407,616.0686408496844,370.52424169813713,1768.7614035054385,68,6
13540.0,767.7193393033276,14.260523473565142,616.0686655567162,370.5242366498555,1768.5727649834644,68,6
13550.0,768.2611408046685,13.543724193792894,616.0686902706013,370.5242315824696,1768.3977868515324,67,6
13560.0,768.8003408431252,12.84467473371834,616.0687149913215,370.52422649595917,1768.2379570641242,68,6
13570.0,769.336917731092,12.164630167558183,616.0687397188508,370.5242213903315,1768.0945090078324,68,6
13580.0,769.8708497194013,11.504560482954382,616.0687644531641,370.5242162655375,1767.9683909210576,66,6
13590.0,770.4021150006408,10.865136409398145,616.0687891942559,370.52421112156617,1767.8602517258612,66,6
13600.0,770.9306917124927,10.246734922835824,616.0688139421013,370.52420595838595,1767.7704465358158,66,6
13610.0,771.456557941092,9.649466044778789,616.0688386966674,370.5242007760059,1767.699063458544,66,6
13620.0,771.979691724375,9.073219818159517,616.0688634579365,370.52419557436707,1767.6459705748382,64,6
13630.0,772.5000710555579,8.517728853165464,616.0688882259082,370.52419035348544,1767.6108784881171,64,6
13640.0,773.0176738864327,7.982638441172999,616.0689130005455,370.5241851133127,1767.593410441464,64,6
13650.0,773.5324781309226,7.457923524659254,616.0689377818419,370.524179853838,1767.5835192912618,63,5
13660.0,774.0444616684435,0,616.0689625697394,377.5675616341802,1767.6809858723632,63,5
13670.0,774.553602347389,0,616.0689873642717,377.77655927073755,1768.3991489823984,63,5
